logical,creative,social,leadership,practical,interest_text,field
18,5,19,20,7,I enjoy analyzing economic data,Economist
16,12,19,14,5,I enjoy statistics and finance,Actuary
7,13,5,6,7,I like managing big investments,Investment Banker
13,7,14,20,16,I like finance and customer service,Banking Officer
13,13,7,8,11,I like risk analysis,Actuary
20,6,6,5,5,I enjoy checking financial records,Auditor
10,17,14,6,5,I follow share markets,Stock Market Trader
11,19,5,9,7,I enjoy stock trading,Stock Market Trader
16,9,19,19,16,I enjoy advertising and marketing,MBA Marketing
6,11,14,6,8,I like auditing accounts,Auditor
9,5,5,16,8,I like accounting and auditing,Chartered Accountant
18,5,11,19,14,I enjoy analyzing economic data,Economist
7,11,17,15,11,I enjoy working with balance sheets,Chartered Accountant
18,8,8,14,19,I like social media marketing,Digital Marketer
5,12,16,20,5,I like social media marketing,Digital Marketer
13,16,12,10,20,I like business analytics,Business Analyst
13,13,11,8,13,I enjoy stock trading,Stock Market Trader
12,7,7,20,13,I enjoy online branding,Digital Marketer
17,13,18,12,19,I enjoy working with balance sheets,Chartered Accountant
13,12,19,20,5,I like branding and sales,MBA Marketing
15,19,12,19,9,I enjoy studying markets,Financial Analyst
17,12,5,12,20,I enjoy analyzing economic data,Economist
8,13,11,19,19,I enjoy working with balance sheets,Chartered Accountant
17,16,11,14,8,I like economics and research,Economist
7,8,12,15,5,I like social media marketing,Digital Marketer
9,16,12,10,10,I like accounting and auditing,Chartered Accountant
7,8,16,14,14,I enjoy HR activities,MBA HR
18,17,11,5,18,I like financial data analysis,Financial Analyst
19,7,18,20,7,I like managing people,MBA HR
18,8,6,9,11,I enjoy analyzing economic data,Economist
20,9,5,13,8,I want to work in banking,Banking Officer
17,18,14,13,20,I enjoy online branding,Digital Marketer
7,6,18,15,14,I like auditing accounts,Auditor
15,7,19,19,5,I enjoy solving business problems,Business Analyst
11,5,13,9,7,I enjoy advertising and marketing,MBA Marketing
15,16,7,10,19,I enjoy statistics and finance,Actuary
5,5,5,18,16,I enjoy stock trading,Stock Market Trader
7,8,16,11,11,I like corporate law and management,Company Secretary
13,8,14,5,17,I enjoy online branding,Digital Marketer
12,15,8,10,13,I enjoy stock trading,Stock Market Trader
17,8,20,18,19,I like corporate law and management,Company Secretary
12,7,19,14,10,I like managing big investments,Investment Banker
9,19,18,11,8,I enjoy solving business problems,Business Analyst
8,14,19,20,17,I enjoy checking financial records,Auditor
15,11,6,5,15,I like business finance,MBA Finance
6,8,13,12,20,I like risk analysis,Actuary
6,14,13,7,13,I enjoy HR activities,MBA HR
14,13,9,5,20,I like auditing accounts,Auditor
13,14,14,19,6,I enjoy innovation and startups,Entrepreneur
11,12,12,11,10,I enjoy studying markets,Financial Analyst
5,19,5,20,13,I enjoy checking financial records,Auditor
16,7,11,16,8,I like managing big investments,Investment Banker
6,9,6,5,19,I like financial data analysis,Financial Analyst
7,10,13,7,8,I like auditing accounts,Auditor
