logical,creative,social,leadership,practical,interest_text,career
4,3,5,2,3,I like movement and want to work in this field,Physiotherapist
3,2,3,3,2,I like chemistry and want to work in this field,Chemist
3,4,4,3,3,I like planning and want to work in this field,Product Manager
5,5,3,4,4,I like product and want to work in this field,Product Manager
5,5,4,2,4,I like patients and want to work in this field,Nurse
3,4,5,4,4,I like games and want to work in this field,Game Developer
3,5,3,3,2,I like sales and want to work in this field,MBA Marketing
5,2,5,5,5,I like genetics and want to work in this field,Biotech Scientist
4,4,4,4,5,I like engines and want to work in this field,Mechanical Engineer
5,5,3,5,2,I like care and want to work in this field,Nurse
5,5,3,5,4,I like aws and want to work in this field,Cloud Engineer
4,3,5,2,5,I like statistics and want to work in this field,Data Scientist
4,2,2,2,4,I like genetics and want to work in this field,Biotech Scientist
5,2,4,2,4,I like data and want to work in this field,Data Scientist
4,3,2,5,3,I like genetics and want to work in this field,Biotech Scientist
4,3,5,4,2,I like servers and want to work in this field,Cloud Engineer
5,5,2,2,4,I like ai and want to work in this field,AI Engineer
3,2,3,3,5,I like robotics and want to work in this field,Electronics Engineer
4,5,5,2,5,I like education and want to work in this field,Professor
3,2,5,4,2,I like web3 and want to work in this field,Blockchain Developer
3,2,5,5,4,I like markets and want to work in this field,MBA Finance
5,5,3,4,3,I like markets and want to work in this field,MBA Finance
3,4,2,3,4,I like chemistry and want to work in this field,Pharmacist
5,4,2,4,5,I like space and want to work in this field,Astrophysicist
3,3,3,4,3,I like studies and want to work in this field,Researcher
4,5,5,2,2,I like movement and want to work in this field,Physiotherapist
5,4,4,5,5,I like circuits and want to work in this field,Electronics Engineer
3,4,3,5,4,I like product and want to work in this field,Product Manager
5,4,3,2,2,I like virtual reality and want to work in this field,AR VR Engineer
4,4,2,5,4,I like coding and want to work in this field,Software Engineer
5,5,4,2,5,I like studies and want to work in this field,Researcher
5,4,3,5,4,I like blockchain and want to work in this field,Blockchain Developer
4,2,4,3,5,I like biotech and want to work in this field,Biotech Scientist
5,2,2,4,2,I like strategy and want to work in this field,Business Analyst
5,2,2,3,3,I like teaching and want to work in this field,Professor
5,2,4,2,4,I like universe and want to work in this field,Astrophysicist
4,5,4,4,4,I like patients and want to work in this field,Nurse
5,3,3,3,3,I like ai and want to work in this field,AI Engineer
5,4,5,2,3,I like management and want to work in this field,MBA HR
3,4,4,4,2,I like markets and want to work in this field,MBA Finance
5,5,4,5,2,I like circuits and want to work in this field,Electronics Engineer
3,4,4,4,3,I like crypto and want to work in this field,Blockchain Developer
3,2,5,5,2,I like teaching and want to work in this field,Professor
3,5,3,5,5,I like stars and want to work in this field,Astrophysicist
5,4,4,5,3,I like neural networks and want to work in this field,AI Engineer
4,2,3,2,4,I like metaverse and want to work in this field,AR VR Engineer
3,2,2,2,2,I like games and want to work in this field,Game Developer
5,5,2,4,2,I like blockchain and want to work in this field,Blockchain Developer
4,3,5,2,4,I like machines and want to work in this field,Mechanical Engineer
3,2,2,2,2,I like medicine and want to work in this field,Pharmacist
4,4,5,5,4,I like mechanics and want to work in this field,Mechanical Engineer
5,5,3,3,4,I like biotech and want to work in this field,Biotech Scientist
5,4,5,5,5,I like sales and want to work in this field,MBA Marketing
4,4,4,3,3,I like patients and want to work in this field,Nurse
4,5,5,3,5,I like coding and want to work in this field,Software Engineer
3,2,5,5,4,I like robotics and want to work in this field,Electronics Engineer
4,4,5,3,3,I like data and want to work in this field,Data Scientist
5,4,4,5,2,I like teeth and want to work in this field,Dentist
3,2,3,2,3,I like strategy and want to work in this field,Business Analyst
3,2,5,3,3,I like patients and want to work in this field,Nurse
5,3,5,2,3,I like biology and want to work in this field,Biotech Scientist
3,2,3,5,5,I like experiments and want to work in this field,Scientist
5,4,4,4,4,I like teaching and want to work in this field,Professor
3,3,5,2,3,I like security and want to work in this field,Cyber Security Engineer
