maths8,science8,english8,history8,geography8,maths9,science9,english9,history9,geography9,maths10,science10,english10,history10,geography10,logical,creative,social,leadership,practical,interest_text,stream
66,55,50,50,44,83,62,75,79,50,93,54,73,41,59,8,6,2,9,5,engineering,Science
56,48,100,45,55,49,91,96,65,73,93,42,99,74,90,3,1,2,3,8,literature,Arts
62,55,87,40,91,55,88,61,78,93,64,89,79,53,64,9,2,3,1,5,engineering,Science
93,91,71,46,80,95,53,53,75,42,85,67,45,82,66,7,4,10,2,2,music,Arts
85,92,84,78,47,76,70,69,91,95,47,49,71,100,99,7,9,5,8,4,economics,Commerce
48,70,81,42,41,50,48,91,73,50,89,54,78,72,77,6,5,6,7,9,music,Arts
81,69,77,66,42,41,65,96,92,59,42,59,55,54,65,2,6,6,3,8,finance,Commerce
48,74,70,83,55,44,66,84,81,43,93,84,75,53,53,9,4,1,3,8,history,Arts
72,66,74,73,78,56,74,91,87,94,40,75,44,92,57,10,2,4,8,3,chemistry,Science
57,57,49,45,96,92,64,58,63,47,86,49,51,74,83,4,4,7,7,9,economics,Commerce
87,59,86,44,88,40,97,87,56,42,61,92,84,90,61,6,4,1,7,8,literature,Arts
61,95,94,40,96,69,67,77,68,88,53,73,94,64,80,2,9,2,8,6,finance,Commerce
81,95,60,98,50,80,41,91,79,67,66,88,73,53,99,1,5,3,6,3,finance,Commerce
45,77,96,93,77,43,70,54,94,53,57,66,81,52,46,7,5,6,6,10,psychology,Arts
94,69,52,75,61,61,46,42,41,42,71,73,87,68,80,5,3,5,8,3,economics,Commerce
96,55,55,75,92,40,81,71,66,91,82,99,80,99,56,4,2,8,10,3,engineering,Science
89,42,92,61,51,77,80,57,70,52,99,78,66,64,66,2,6,9,3,3,drawing,Arts
56,64,67,84,71,55,100,98,91,48,73,58,45,56,87,4,10,1,4,7,chemistry,Science
48,57,90,60,100,62,96,94,62,95,77,92,88,54,45,1,4,6,5,8,accounting,Commerce
86,41,81,90,85,69,40,81,79,44,58,84,48,87,62,4,10,3,6,2,accounting,Commerce
50,49,51,81,64,94,55,80,85,45,100,87,61,73,46,6,7,9,9,2,biology,Science
56,80,43,60,95,42,76,91,40,69,58,46,54,89,69,2,7,5,6,2,chemistry,Science
74,98,98,89,79,45,52,63,59,69,79,55,74,54,94,8,4,6,5,2,engineering,Science
56,98,66,89,99,55,93,80,65,59,70,95,42,52,82,1,5,8,3,9,technology,Science
75,53,42,51,45,53,55,94,45,84,51,78,95,79,95,10,10,1,2,4,psychology,Arts
68,56,67,93,69,82,82,64,98,65,92,70,77,72,92,8,8,5,1,4,accounting,Commerce
